publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2023-11-01,2023-12-01,,,,,,True,,2023-24123,https://www.federalregister.gov/documents/2023/11/01/2023-24123/request-for-nominations-on-public-advisory-panels-of-the-medical-devices-advisory-committee,Request for Nominations on Public Advisory Panels of the Medical Devices Advisory Committee
2023-11-02,,,,,,,False,no_meeting_date,2023-24212,https://www.federalregister.gov/documents/2023/11/02/2023-24212/advisory-committee-patient-engagement-advisory-committee-renewal,Advisory Committee; Patient Engagement Advisory Committee; Renewal
2023-11-13,2023-11-29,,,,,,True,,2023-24896,https://www.federalregister.gov/documents/2023/11/13/2023-24896/molecular-and-clinical-genetics-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Molecular and Clinical Genetics Panel of the Medical Devices Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-Multi-Cancer Detection Devices
2023-11-15,,Nonprescription Drugs Advisory Committee,,,,,False,no_meeting_date,2023-25100,https://www.federalregister.gov/documents/2023/11/15/2023-25100/advisory-committee-nonprescription-drugs-advisory-committee-renewal,Advisory Committee; Nonprescription Drugs Advisory Committee; Renewal
2023-11-17,2024-01-16,,,,,,True,,2023-25367,https://www.federalregister.gov/documents/2023/11/17/2023-25367/request-for-nominations-for-voting-members-on-public-advisory-panels-or-committees-device-good,Request for Nominations for Voting Members on Public Advisory Panels or Committees; Device Good Manufacturing Practice Advisory Committee and the Medical Devices Advisory Committee
2023-11-17,2024-02-06,,,,,,True,,2023-25459,https://www.federalregister.gov/documents/2023/11/17/2023-25459/general-hospital-and-personal-use-devices-panel-of-the-medical-devices-advisory-committee-notice-of,General Hospital and Personal Use Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-506J Device List
2023-11-17,2024-02-02,,,,,,True,,2023-25475,https://www.federalregister.gov/documents/2023/11/17/2023-25475/anesthesiology-and-respiratory-therapy-devices-panel-of-the-medical-devices-advisory-committee,Anesthesiology and Respiratory Therapy Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-Pulse Oximeters
2023-11-30,2024-02-28,,,,,,True,,2023-26208,https://www.federalregister.gov/documents/2023/11/30/2023-26208/effective-date-of-requirement-for-premarket-approval-applications-for-certain-solid-wound-dressings,"Effective Date of Requirement for Premarket Approval Applications for Certain Solid Wound Dressings; Wound Dressings Formulated as a Gel, Cream, or Ointment; and Liquid Wound Washes Containing Medical"
2023-11-30,2024-02-28,,,,,,True,,2023-26209,https://www.federalregister.gov/documents/2023/11/30/2023-26209/medical-devices-general-and-plastic-surgery-devices-classification-of-certain-solid-wound-dressings,"Medical Devices; General and Plastic Surgery Devices; Classification of Certain Solid Wound Dressings; Wound Dressings Formulated as a Gel, Creams, or Ointment; and Liquid Wound Washes"
2023-12-13,2024-02-12,,,,,,True,,2023-27301,https://www.federalregister.gov/documents/2023/12/13/2023-27301/request-for-nominations-for-voting-members-for-the-genetic-metabolic-diseases-advisory-committee,Request for Nominations for Voting Members for the Genetic Metabolic Diseases Advisory Committee
2023-12-13,2024-02-12,,,,,,True,,2023-27302,https://www.federalregister.gov/documents/2023/12/13/2023-27302/request-for-nominations-of-individuals-and-consumer-organizations-for-the-genetic-metabolic-diseases,Request for Nominations of Individuals and Consumer Organizations for the Genetic Metabolic Diseases Advisory Committee
2023-12-13,2024-02-12,,,,,,True,,2023-27303,https://www.federalregister.gov/documents/2023/12/13/2023-27303/request-for-nominations-of-individuals-and-industry-organizations-for-the-genetic-metabolic-diseases,Request for Nominations of Individuals and Industry Organizations for the Genetic Metabolic Diseases Advisory Committee
2023-12-13,2024-02-12,,,,,,True,,2023-27304,https://www.federalregister.gov/documents/2023/12/13/2023-27304/advisory-committee-genetic-metabolic-diseases-advisory-committee-establishment,Advisory Committee; Genetic Metabolic Diseases Advisory Committee; Establishment
2023-12-13,2024-01-29,Cardiovascular and Renal Drugs Advisory Committee,,,,,True,,2023-27308,https://www.federalregister.gov/documents/2023/12/13/2023-27308/request-for-nominations-for-individuals-and-consumer-organizations-for-advisory-committees,Request for Nominations for Individuals and Consumer Organizations for Advisory Committees
2023-12-18,2023-12-18,,,IMBRUVICA,,,False,short_lead,2023-27662,https://www.federalregister.gov/documents/2023/12/18/2023-27662/pharmacyclics-llc-withdrawal-of-approval-of-indications-for-mantle-cell-lymphoma-and-marginal-zone,Pharmacyclics LLC.; Withdrawal of Approval of Indications for Mantle Cell Lymphoma and Marginal Zone Lymphoma for IMBRUVICA (ibrutinib) Capsules and Tablets
2023-12-21,2024-01-22,,,,,,True,,2023-27935,https://www.federalregister.gov/documents/2023/12/21/2023-27935/institutional-review-board-waiver-or-alteration-of-informed-consent-for-minimal-risk-clinical,Institutional Review Board Waiver or Alteration of Informed Consent for Minimal Risk Clinical Investigations
2024-01-19,2024-03-05,,,,,,True,,2024-01016,https://www.federalregister.gov/documents/2024/01/19/2024-01016/medical-imaging-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request,Medical Imaging Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2024-01-22,2024-02-13,,,,,,True,,2024-01082,https://www.federalregister.gov/documents/2024/01/22/2024-01082/circulatory-system-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting-triclip,Circulatory System Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting-TriClip G4 System
2024-01-23,2024-02-22,"Cellular, Tissue, and Gene Therapies Advisory Committee",,,,,True,,2024-01154,https://www.federalregister.gov/documents/2024/01/23/2024-01154/request-for-nominations-from-industry-organizations-interested-in-participating-in-the-selection,Request for Nominations From Industry Organizations Interested in Participating in the Selection Process for Nonvoting Industry Representatives and Request for Nominations for Nonvoting Industry Repre
2024-01-26,,,,,,,False,no_meeting_date,2024-01585,https://www.federalregister.gov/documents/2024/01/26/2024-01585/advisory-committee-vaccines-and-related-biological-products-advisory-committee-renewal,"Advisory Committee; Vaccines and Related Biological Products Advisory Committee, Renewal"
