ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
EYPT,submissions.tickers,0001314102,"EyePoint, Inc.",3826,False,RA Capital,0,0,0,2,0,0,,,ACTIVE,,
NVAX,submissions.tickers,0001000694,NOVAVAX INC,2836,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001863294,DA32 Life Science Tech Acquisition Corp.,6770,False,RA Capital,0,0,0,1,0,0,,,DELISTED,0001354457-23-000548,2023-07-28
TNYA,submissions.tickers,0001858848,"Tenaya Therapeutics, Inc.",2836,True,RA Capital,0,0,0,3,0,0,,,ACTIVE,,
PCVX,submissions.tickers,0001649094,"Vaxcyte, Inc.",2836,True,RA Capital,0,0,0,3,0,0,,,ACTIVE,,
BOLT,submissions.tickers,0001641281,"Bolt Biotherapeutics, Inc.",2834,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001662244,"Cyteir Therapeutics, Inc.",2834,True,Baker Bros;RA Capital,0,1,0,3,0,1,2023-02-14,0001104659-23-021473,DELISTED,0001193125-24-069610,2024-03-18
TCRX,submissions.tickers,0001783328,"TScan Therapeutics, Inc.",2836,True,Baker Bros;RA Capital,0,0,0,4,0,0,,,ACTIVE,,
MCRB,submissions.tickers,0001609809,"Seres Therapeutics, Inc.",2834,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
VRDN,submissions.tickers,0001590750,"Viridian Therapeutics, Inc.\DE",2834,True,Deep Track;Perceptive;RA Capital,0,2,0,4,0,2,2021-09-24,0001172661-21-001921,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001852432,ARYA Sciences Acquisition Corp V,6770,False,RA Capital,0,0,0,1,0,0,,,DELISTED,0001354457-23-000506,2023-07-14
